State Code,District Code,Tahsil/ Sub-District Code,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Scheduled Caste - Persons,Scheduled Caste - Males,Scheduled Caste - Females,Scheduled Tribe - Persons,Scheduled Tribe - Males,Scheduled Tribe - Females
33,15,0005,41511000,1,0,WARD,Kallakudi (TP) - Ward No.1,Urban,808,417,391,19,12,7,8,4,4
33,15,0005,41511000,2,0,WARD,Kallakudi (TP) - Ward No.2,Urban,925,462,463,17,8,9,0,0,0
33,15,0005,41511000,3,0,WARD,Kallakudi (TP) - Ward No.3,Urban,709,365,344,2,1,1,0,0,0
33,15,0005,41511000,4,0,WARD,Kallakudi (TP) - Ward No.4,Urban,812,413,399,176,82,94,0,0,0
33,15,0005,41511000,5,0,WARD,Kallakudi (TP) - Ward No.5,Urban,772,378,394,0,0,0,0,0,0
33,15,0005,41511000,6,0,WARD,Kallakudi (TP) - Ward No.6,Urban,255,128,127,0,0,0,0,0,0
33,15,0005,41511000,7,0,WARD,Kallakudi (TP) - Ward No.7,Urban,517,264,253,83,40,43,0,0,0
33,15,0005,41511000,8,0,WARD,Kallakudi (TP) - Ward No.8,Urban,456,234,222,118,52,66,0,0,0
33,15,0005,41511000,9,0,WARD,Kallakudi (TP) - Ward No.9,Urban,801,377,424,3,1,2,0,0,0
33,15,0005,41511000,10,0,WARD,Kallakudi (TP) - Ward No.10,Urban,291,153,138,0,0,0,0,0,0
33,15,0005,41511000,11,0,WARD,Kallakudi (TP) - Ward No.11,Urban,1441,707,734,42,21,21,0,0,0
33,15,0005,41511000,12,0,WARD,Kallakudi (TP) - Ward No.12,Urban,374,176,198,5,3,2,0,0,0
33,15,0005,41511000,13,0,WARD,Kallakudi (TP) - Ward No.13,Urban,793,402,391,28,16,12,0,0,0
33,15,0005,41511000,14,0,WARD,Kallakudi (TP) - Ward No.14,Urban,501,243,258,386,190,196,0,0,0
33,15,0005,41511000,15,0,WARD,Kallakudi (TP) - Ward No.15,Urban,2036,1021,1015,239,120,119,0,0,0
33,15,0005,41512000,0,0,TOWN,Pullampadi (TP),Urban,11215,5376,5839,689,315,374,54,25,29
33,15,0005,41512000,1,0,WARD,Pullampadi (TP) - Ward No.1,Urban,1070,525,545,204,104,100,38,19,19
33,15,0005,41512000,2,0,WARD,Pullampadi (TP) - Ward No.2,Urban,817,377,440,41,7,34,0,0,0
33,15,0005,41512000,3,0,WARD,Pullampadi (TP) - Ward No.3,Urban,489,237,252,65,32,33,5,2,3
33,15,0005,41512000,4,0,WARD,Pullampadi (TP) - Ward No.4,Urban,847,421,426,0,0,0,0,0,0
33,15,0005,41512000,5,0,WARD,Pullampadi (TP) - Ward No.5,Urban,1217,606,611,0,0,0,0,0,0
33,15,0005,41512000,6,0,WARD,Pullampadi (TP) - Ward No.6,Urban,1272,619,653,94,48,46,5,3,2
33,15,0005,41512000,7,0,WARD,Pullampadi (TP) - Ward No.7,Urban,748,306,442,10,0,10,0,0,0
33,15,0005,41512000,8,0,WARD,Pullampadi (TP) - Ward No.8,Urban,1400,669,731,199,91,108,6,1,5
33,15,0005,41512000,9,0,WARD,Pullampadi (TP) - Ward No.9,Urban,41,22,19,0,0,0,0,0,0
33,15,0005,41512000,10,0,WARD,Pullampadi (TP) - Ward No.10,Urban,524,259,265,23,9,14,0,0,0
33,15,0005,41512000,11,0,WARD,Pullampadi (TP) - Ward No.11,Urban,60,28,32,0,0,0,0,0,0
33,15,0005,41512000,12,0,WARD,Pullampadi (TP) - Ward No.12,Urban,525,257,268,23,9,14,0,0,0
33,15,0005,41512000,13,0,WARD,Pullampadi (TP) - Ward No.13,Urban,536,259,277,0,0,0,0,0,0
33,15,0005,41512000,14,0,WARD,Pullampadi (TP) - Ward No.14,Urban,966,467,499,30,15,15,0,0,0
33,15,0005,41512000,15,0,WARD,Pullampadi (TP) - Ward No.15,Urban,703,324,379,0,0,0,0,0,0
33,15,0005,41513000,0,0,TOWN,Puvalur (TP),Urban,8906,4445,4461,1984,975,1009,0,0,0
33,15,0005,41513000,1,0,WARD,Puvalur (TP) - Ward No.1,Urban,491,238,253,2,1,1,0,0,0
33,15,0005,41513000,2,0,WARD,Puvalur (TP) - Ward No.2,Urban,677,345,332,41,18,23,0,0,0
33,15,0005,41513000,3,0,WARD,Puvalur (TP) - Ward No.3,Urban,506,249,257,479,233,246,0,0,0
33,15,0005,41513000,4,0,WARD,Puvalur (TP) - Ward No.4,Urban,420,206,214,378,191,187,0,0,0
33,15,0005,41513000,5,0,WARD,Puvalur (TP) - Ward No.5,Urban,773,375,398,2,1,1,0,0,0
33,15,0005,41513000,6,0,WARD,Puvalur (TP) - Ward No.6,Urban,577,289,288,0,0,0,0,0,0
33,15,0005,41513000,7,0,WARD,Puvalur (TP) - Ward No.7,Urban,618,312,306,0,0,0,0,0,0
33,15,0005,41513000,8,0,WARD,Puvalur (TP) - Ward No.8,Urban,515,261,254,0,0,0,0,0,0
33,15,0005,41513000,9,0,WARD,Puvalur (TP) - Ward No.9,Urban,867,447,420,89,44,45,0,0,0
33,15,0005,41513000,10,0,WARD,Puvalur (TP) - Ward No.10,Urban,528,268,260,484,240,244,0,0,0
33,15,0005,41513000,11,0,WARD,Puvalur (TP) - Ward No.11,Urban,532,266,266,489,240,249,0,0,0
33,15,0005,41513000,12,0,WARD,Puvalur (TP) - Ward No.12,Urban,665,321,344,0,0,0,0,0,0
33,15,0005,41513000,13,0,WARD,Puvalur (TP) - Ward No.13,Urban,568,294,274,0,0,0,0,0,0
33,15,0005,41513000,14,0,WARD,Puvalur (TP) - Ward No.14,Urban,549,272,277,20,7,13,0,0,0
33,15,0005,41513000,15,0,WARD,Puvalur (TP) - Ward No.15,Urban,620,302,318,0,0,0,0,0,0
33,15,0005,41514000,0,0,TOWN,Lalgudi (TP),Urban,23405,11640,11765,4046,1965,2081,7,4,3
33,15,0005,41514000,1,0,WARD,Lalgudi (TP) - Ward No.1,Urban,1468,718,750,491,241,250,0,0,0
33,15,0005,41514000,2,0,WARD,Lalgudi (TP) - Ward No.2,Urban,2368,1171,1197,148,67,81,0,0,0
33,15,0005,41514000,3,0,WARD,Lalgudi (TP) - Ward No.3,Urban,2154,1062,1092,97,47,50,0,0,0
33,15,0005,41514000,4,0,WARD,Lalgudi (TP) - Ward No.4,Urban,502,251,251,12,6,6,0,0,0
33,15,0005,41514000,5,0,WARD,Lalgudi (TP) - Ward No.5,Urban,1772,856,916,127,55,72,0,0,0
33,15,0005,41514000,6,0,WARD,Lalgudi (TP) - Ward No.6,Urban,832,424,408,261,131,130,0,0,0
33,15,0005,41514000,7,0,WARD,Lalgudi (TP) - Ward No.7,Urban,2374,1173,1201,510,239,271,0,0,0
33,15,0005,41514000,8,0,WARD,Lalgudi (TP) - Ward No.8,Urban,1273,613,660,327,144,183,0,0,0
33,15,0005,41514000,9,0,WARD,Lalgudi (TP) - Ward No.9,Urban,1274,647,627,169,92,77,0,0,0
33,15,0005,41514000,10,0,WARD,Lalgudi (TP) - Ward No.10,Urban,491,240,251,223,108,115,0,0,0
33,15,0005,41514000,11,0,WARD,Lalgudi (TP) - Ward No.11,Urban,1208,587,621,625,309,316,0,0,0
33,15,0005,41514000,12,0,WARD,Lalgudi (TP) - Ward No.12,Urban,498,260,238,0,0,0,0,0,0
33,15,0005,41514000,13,0,WARD,Lalgudi (TP) - Ward No.13,Urban,2065,1067,998,306,165,141,0,0,0
33,15,0005,41514000,14,0,WARD,Lalgudi (TP) - Ward No.14,Urban,1303,637,666,64,30,34,7,4,3
33,15,0005,41514000,15,0,WARD,Lalgudi (TP) - Ward No.15,Urban,1443,725,718,88,36,52,0,0,0
33,15,0005,41514000,16,0,WARD,Lalgudi (TP) - Ward No.16,Urban,856,445,411,0,0,0,0,0,0
33,15,0005,41514000,17,0,WARD,Lalgudi (TP) - Ward No.17,Urban,930,471,459,4,2,2,0,0,0
33,15,0005,41514000,18,0,WARD,Lalgudi (TP) - Ward No.18,Urban,594,293,301,594,293,301,0,0,0
33,15,0006,00000000,0,0,TALUK,Srirangam,Total,174689,87383,87306,38299,18806,19493,399,203,196
33,15,0006,00000000,0,0,TALUK,Srirangam,Rural,164695,82338,82357,36412,17877,18535,384,196,188
33,15,0006,00000000,0,0,TALUK,Srirangam,Urban,9994,5045,4949,1887,929,958,15,7,8
33,15,0006,00913300,0,0,VILLAGE,Pettavathalai ,Rural,8766,4364,4402,1402,692,710,2,1,1
33,15,0006,00913400,0,0,VILLAGE,Perugamani,Rural,3618,1822,1796,638,328,310,6,3,3
33,15,0006,00913500,0,0,VILLAGE,Tirupparaithurai ,Rural,4572,2713,1859,1390,686,704,3,3,0
33,15,0006,00913600,0,0,VILLAGE,Andanallur ,Rural,4540,2230,2310,1194,588,606,2,1,1
33,15,0006,00913700,0,0,VILLAGE,Kodiyalam,Rural,4099,2051,2048,1576,784,792,0,0,0
33,15,0006,00913800,0,0,VILLAGE,Kulumani,Rural,4586,2282,2304,1785,892,893,0,0,0
33,15,0006,00913900,0,0,VILLAGE,Periakaruppur,Rural,1333,682,651,426,213,213,0,0,0
33,15,0006,00914000,0,0,VILLAGE,Tiruchendurai,Rural,2469,1212,1257,370,175,195,6,2,4
33,15,0006,00914100,0,0,VILLAGE,Kadiyakurichy,Rural,902,451,451,428,215,213,0,0,0
33,15,0006,00914200,0,0,VILLAGE,Mekkudy,Rural,1529,761,768,570,279,291,0,0,0
33,15,0006,00914300,0,0,VILLAGE,Allur,Rural,3148,1563,1585,1147,566,581,0,0,0
33,15,0006,00914400,0,0,VILLAGE,Palur,Rural,1406,695,711,907,443,464,0,0,0
33,15,0006,00914500,0,0,VILLAGE,Mutharasanallur,Rural,4827,2412,2415,1243,614,629,0,0,0
33,15,0006,00914600,0,0,VILLAGE,Kambarasampettai,Rural,3923,1974,1949,1809,885,924,3,2,1
33,15,0006,00914700,0,0,VILLAGE,Paneyapuram,Rural,1235,614,621,446,221,225,0,0,0
33,15,0006,00914800,0,0,VILLAGE,Uthamsevi,Rural,2009,993,1016,438,211,227,0,0,0
33,15,0006,00914900,0,0,VILLAGE,Kilikoodu,Rural,991,504,487,171,88,83,0,0,0
33,15,0006,00915000,0,0,VILLAGE,Malliampathu,Rural,3787,1868,1919,2087,1002,1085,0,0,0
33,15,0006,00915100,0,0,VILLAGE,Somarasampettai,Rural,6270,3167,3103,1301,662,639,28,14,14
33,15,0006,00915200,0,0,VILLAGE,Kumaravayalur,Rural,1897,911,986,806,370,436,0,0,0
33,15,0006,00915300,0,0,VILLAGE,Marudankakurichi,Rural,3079,1572,1507,1212,613,599,0,0,0
33,15,0006,00915400,0,0,VILLAGE,Perur,Rural,1049,528,521,526,254,272,0,0,0
33,15,0006,00915500,0,0,VILLAGE,Mullikarumbur,Rural,1442,704,738,452,212,240,0,0,0
33,15,0006,00915600,0,0,VILLAGE,Koppu North ,Rural,6949,3402,3547,490,252,238,0,0,0
33,15,0006,00915700,0,0,VILLAGE,Koppu South ,Rural,4164,2060,2104,274,127,147,23,8,15
33,15,0006,00915800,0,0,VILLAGE,Podavur,Rural,2594,1301,1293,161,80,81,0,0,0
33,15,0006,00915900,0,0,VILLAGE,Puliyur,Rural,2965,1475,1490,120,55,65,0,0,0
33,15,0006,00916000,0,0,VILLAGE,Adavathur (West),Rural,8748,4261,4487,450,222,228,0,0,0
33,15,0006,00916100,0,0,VILLAGE,Adavathur (East),Rural,4682,2339,2343,200,99,101,0,0,0
33,15,0006,00916200,0,0,VILLAGE,Nachikurichy,Rural,4145,2097,2048,831,410,421,0,0,0
33,15,0006,00916300,0,0,VILLAGE,Sholanganallur,Rural,2922,1505,1417,416,210,206,3,2,1
33,15,0006,00916400,0,0,VILLAGE,K.Kallikudy North,Rural,3749,1887,1862,721,355,366,0,0,0
33,15,0006,00916500,0,0,VILLAGE,K.Kallikudy South,Rural,3619,1801,1818,1220,601,619,4,1,3
33,15,0006,00916600,0,0,VILLAGE,Thayanur ,Rural,8402,4140,4262,1155,544,611,0,0,0
33,15,0006,00916700,0,0,VILLAGE,Navalurkottapattu,Rural,4943,2481,2462,684,334,350,0,0,0
33,15,0006,00916800,0,0,VILLAGE,Ariyavoor-Ukkadaiariyavoor,Rural,2724,1354,1370,401,195,206,0,0,0
33,15,0006,00916900,0,0,VILLAGE,Periyanayakichatram,Rural,972,481,491,140,69,71,0,0,0
33,15,0006,00917000,0,0,VILLAGE,Ammapettai,Rural,3232,1650,1582,501,245,256,0,0,0
33,15,0006,00917100,0,0,VILLAGE,Kulathur,Rural,9300,4567,4733,1583,775,808,10,5,5
33,15,0006,00917200,0,0,VILLAGE,Mathur,Rural,1560,778,782,201,90,111,0,0,0
33,15,0006,00917300,0,0,VILLAGE,Sethurapatti,Rural,2501,1256,1245,877,431,446,10,6,4
33,15,0006,00917400,0,0,VILLAGE,Alundur,Rural,3234,1596,1638,1009,503,506,4,3,1
33,15,0006,00917500,0,0,VILLAGE,Paganur,Rural,1999,972,1027,544,253,291,0,0,0
33,15,0006,00917600,0,0,VILLAGE,Nagamangalam,Rural,4322,2135,2187,758,374,384,280,145,135
33,15,0006,00917700,0,0,VILLAGE,Kottapattu,Rural,460,213,247,85,37,48,0,0,0
33,15,0006,00917800,0,0,VILLAGE,Mekkudi,Rural,1225,611,614,332,165,167,0,0,0
33,15,0006,00917900,0,0,VILLAGE,Mudikandam,Rural,898,437,461,142,77,65,0,0,0
33,15,0006,00918000,0,0,VILLAGE,Kolakkattagudy,Rural,403,201,202,136,62,74,0,0,0
33,15,0006,00918100,0,0,VILLAGE,Thorakkudy,Rural,523,259,264,298,149,149,0,0,0
33,15,0006,00918200,0,0,VILLAGE,Thirumalaisamudram,Rural,919,485,434,183,85,98,0,0,0
33,15,0006,00918300,0,0,VILLAGE,Olaiyur,Rural,1064,521,543,176,85,91,0,0,0
33,15,0006,41515000,0,0,TOWN,Sirugamani (TP),Urban,9994,5045,4949,1887,929,958,15,7,8
33,15,0006,41515000,1,0,WARD,Sirugamani (TP) - Ward No.1,Urban,795,410,385,7,5,2,0,0,0
33,15,0006,41515000,2,0,WARD,Sirugamani (TP) - Ward No.2,Urban,531,272,259,288,144,144,0,0,0
33,15,0006,41515000,3,0,WARD,Sirugamani (TP) - Ward No.3,Urban,528,276,252,0,0,0,0,0,0
33,15,0006,41515000,4,0,WARD,Sirugamani (TP) - Ward No.4,Urban,699,362,337,618,318,300,0,0,0
33,15,0006,41515000,5,0,WARD,Sirugamani (TP) - Ward No.5,Urban,874,452,422,66,37,29,0,0,0
33,15,0006,41515000,6,0,WARD,Sirugamani (TP) - Ward No.6,Urban,791,389,402,247,107,140,0,0,0
33,15,0006,41515000,7,0,WARD,Sirugamani (TP) - Ward No.7,Urban,448,246,202,40,18,22,10,5,5
33,15,0006,41515000,8,0,WARD,Sirugamani (TP) - Ward No.8,Urban,634,319,315,0,0,0,0,0,0
33,15,0006,41515000,9,0,WARD,Sirugamani (TP) - Ward No.9,Urban,784,368,416,19,7,12,0,0,0
33,15,0006,41515000,10,0,WARD,Sirugamani (TP) - Ward No.10,Urban,761,391,370,65,35,30,0,0,0
33,15,0006,41515000,11,0,WARD,Sirugamani (TP) - Ward No.11,Urban,663,327,336,94,44,50,5,2,3
33,15,0006,41515000,12,0,WARD,Sirugamani (TP) - Ward No.12,Urban,564,264,300,436,213,223,0,0,0
33,15,0006,41515000,13,0,WARD,Sirugamani (TP) - Ward No.13,Urban,688,348,340,0,0,0,0,0,0
33,15,0006,41515000,14,0,WARD,Sirugamani (TP) - Ward No.14,Urban,776,403,373,1,0,1,0,0,0
33,15,0006,41515000,15,0,WARD,Sirugamani (TP) - Ward No.15,Urban,458,218,240,6,1,5,0,0,0
33,15,0007,00000000,0,0,TALUK,Tiruchirappalli,Total,928590,465502,463088,105487,52810,52677,3631,1817,1814
33,15,0007,00000000,0,0,TALUK,Tiruchirappalli,Rural,53026,26570,26456,11206,5609,5597,100,55,45
33,15,0007,00000000,0,0,TALUK,Tiruchirappalli,Urban,875564,438932,436632,94281,47201,47080,3531,1762,1769
33,15,0007,00918400,0,0,VILLAGE,Panayakurichy,Rural,2445,1244,1201,465,234,231,0,0,0
33,15,0007,00918500,0,0,VILLAGE,Kilamullakudy ,Rural,1829,920,909,295,139,156,0,0,0
33,15,0007,00918600,0,0,VILLAGE,Kuvalakkudy,Rural,4190,2058,2132,1790,875,915,1,0,1
33,15,0007,00918700,0,0,VILLAGE,Vengur ,Rural,1256,620,636,70,38,32,6,2,4
33,15,0007,00918800,0,0,VILLAGE,Natarajapuram,Rural,1142,568,574,194,100,94,0,0,0
33,15,0007,00918900,0,0,VILLAGE,Arasangudy,Rural,1206,611,595,188,97,91,0,0,0
33,15,0007,00919000,0,0,VILLAGE,Kiliyur,Rural,674,331,343,116,52,64,0,0,0
33,15,0007,00919100,0,0,VILLAGE,Pathalapattai,Rural,2740,1351,1389,877,430,447,1,0,1
33,15,0007,00919200,0,0,VILLAGE,Agaram,Rural,706,342,364,107,52,55,0,0,0
33,15,0007,00919300,0,0,VILLAGE,Ellakudy,Rural,4125,2093,2032,717,356,361,25,12,13
33,15,0007,00919400,0,0,VILLAGE,Alathur,Rural,1080,524,556,448,230,218,4,2,2
33,15,0007,00919500,0,0,VILLAGE,Kilakurichy,Rural,6536,3232,3304,1016,501,515,61,38,23
33,15,0007,00919600,0,0,VILLAGE,Kilakalkandarkottai,Rural,1472,740,732,570,294,276,0,0,0
33,15,0007,00919700,0,0,VILLAGE,Sholamadevi,Rural,2293,1184,1109,641,315,326,0,0,0
33,15,0007,00919800,0,0,VILLAGE,Valavandankottai,Rural,6969,3519,3450,1149,606,543,2,1,1
33,15,0007,00919900,0,0,VILLAGE,Tirunedunkulam,Rural,1464,732,732,249,123,126,0,0,0
33,15,0007,00920000,0,0,VILLAGE,Asur,Rural,1850,933,917,605,308,297,0,0,0
33,15,0007,00920100,0,0,VILLAGE,Elandapatti,Rural,646,314,332,0,0,0,0,0,0
33,15,0007,00920200,0,0,VILLAGE,Kumbakudy ,Rural,475,243,232,60,34,26,0,0,0
33,15,0007,00920300,0,0,VILLAGE,Gundur ,Rural,6506,3311,3195,1169,582,587,0,0,0
33,15,0007,00920400,0,0,VILLAGE,Sooriyur ,Rural,2400,1188,1212,269,139,130,0,0,0
33,15,0007,00920500,0,0,VILLAGE,Kandalur,Rural,1022,512,510,211,104,107,0,0,0
33,15,0007,41516000,0,0,TOWN,Tiruchirappalli (M Corp.),Urban,752066,376125,375941,70969,35403,35566,2991,1490,1501
33,15,0007,41516000,1,0,WARD,Tiruchirappalli (M Corp.) - Ward No.1,Urban,13488,6679,6809,980,482,498,35,19,16
33,15,0007,41516000,2,0,WARD,Tiruchirappalli (M Corp.) - Ward No.2,Urban,14274,7008,7266,75,41,34,0,0,0
33,15,0007,41516000,3,0,WARD,Tiruchirappalli (M Corp.) - Ward No.3,Urban,12346,6049,6297,378,193,185,57,23,34
33,15,0007,41516000,4,0,WARD,Tiruchirappalli (M Corp.) - Ward No.4,Urban,14703,7316,7387,1223,603,620,31,13,18
33,15,0007,41516000,5,0,WARD,Tiruchirappalli (M Corp.) - Ward No.5,Urban,16078,7877,8201,207,94,113,27,12,15
33,15,0007,41516000,6,0,WARD,Tiruchirappalli (M Corp.) - Ward No.6,Urban,11936,6006,5930,1855,932,923,0,0,0
33,15,0007,41516000,7,0,WARD,Tiruchirappalli (M Corp.) - Ward No.7,Urban,11263,5539,5724,462,217,245,3,2,1
33,15,0007,41516000,8,0,WARD,Tiruchirappalli (M Corp.) - Ward No.8,Urban,12882,6432,6450,2717,1347,1370,518,245,273
33,15,0007,41516000,9,0,WARD,Tiruchirappalli (M Corp.) - Ward No.9,Urban,15375,7891,7484,1242,611,631,9,5,4
33,15,0007,41516000,10,0,WARD,Tiruchirappalli (M Corp.) - Ward No.10,Urban,12788,6366,6422,491,192,299,37,15,22
33,15,0007,41516000,11,0,WARD,Tiruchirappalli (M Corp.) - Ward No.11,Urban,8353,4205,4148,24,10,14,0,0,0
33,15,0007,41516000,12,0,WARD,Tiruchirappalli (M Corp.) - Ward No.12,Urban,11961,6051,5910,272,127,145,13,5,8
33,15,0007,41516000,13,0,WARD,Tiruchirappalli (M Corp.) - Ward No.13,Urban,6795,3540,3255,14,11,3,0,0,0
33,15,0007,41516000,14,0,WARD,Tiruchirappalli (M Corp.) - Ward No.14,Urban,10141,5116,5025,953,490,463,10,5,5
33,15,0007,41516000,15,0,WARD,Tiruchirappalli (M Corp.) - Ward No.15,Urban,14911,7453,7458,4122,2039,2083,0,0,0
33,15,0007,41516000,16,0,WARD,Tiruchirappalli (M Corp.) - Ward No.16,Urban,8090,4067,4023,49,22,27,128,71,57
33,15,0007,41516000,17,0,WARD,Tiruchirappalli (M Corp.) - Ward No.17,Urban,11887,5635,6252,215,92,123,11,6,5
33,15,0007,41516000,18,0,WARD,Tiruchirappalli (M Corp.) - Ward No.18,Urban,10518,5389,5129,10,5,5,14,8,6
33,15,0007,41516000,19,0,WARD,Tiruchirappalli (M Corp.) - Ward No.19,Urban,9140,4597,4543,629,325,304,60,27,33
33,15,0007,41516000,20,0,WARD,Tiruchirappalli (M Corp.) - Ward No.20,Urban,8651,4234,4417,1354,634,720,0,0,0
33,15,0007,41516000,21,0,WARD,Tiruchirappalli (M Corp.) - Ward No.21,Urban,9219,4677,4542,1180,590,590,0,0,0
33,15,0007,41516000,22,0,WARD,Tiruchirappalli (M Corp.) - Ward No.22,Urban,11875,5929,5946,95,47,48,8,8,0
33,15,0007,41516000,23,0,WARD,Tiruchirappalli (M Corp.) - Ward No.23,Urban,10491,5156,5335,2594,1277,1317,17,8,9
33,15,0007,41516000,24,0,WARD,Tiruchirappalli (M Corp.) - Ward No.24,Urban,7612,3800,3812,36,24,12,4,1,3
33,15,0007,41516000,25,0,WARD,Tiruchirappalli (M Corp.) - Ward No.25,Urban,9828,4911,4917,1189,600,589,66,34,32
33,15,0007,41516000,26,0,WARD,Tiruchirappalli (M Corp.) - Ward No.26,Urban,10940,5389,5551,1685,853,832,50,27,23
33,15,0007,41516000,27,0,WARD,Tiruchirappalli (M Corp.) - Ward No.27,Urban,14817,7432,7385,1061,523,538,182,97,85
33,15,0007,41516000,28,0,WARD,Tiruchirappalli (M Corp.) - Ward No.28,Urban,10911,5532,5379,396,217,179,0,0,0
33,15,0007,41516000,29,0,WARD,Tiruchirappalli (M Corp.) - Ward No.29,Urban,14197,7096,7101,1889,932,957,13,6,7
33,15,0007,41516000,30,0,WARD,Tiruchirappalli (M Corp.) - Ward No.30,Urban,13511,6716,6795,3943,1957,1986,93,47,46
33,15,0007,41516000,31,0,WARD,Tiruchirappalli (M Corp.) - Ward No.31,Urban,9385,4476,4909,373,174,199,75,36,39
33,15,0007,41516000,32,0,WARD,Tiruchirappalli (M Corp.) - Ward No.32,Urban,15741,7908,7833,2869,1455,1414,731,377,354
33,15,0007,41516000,33,0,WARD,Tiruchirappalli (M Corp.) - Ward No.33,Urban,12673,6225,6448,814,403,411,9,2,7
33,15,0007,41516000,34,0,WARD,Tiruchirappalli (M Corp.) - Ward No.34,Urban,11000,5601,5399,721,383,338,19,12,7
33,15,0007,41516000,35,0,WARD,Tiruchirappalli (M Corp.) - Ward No.35,Urban,16740,8996,7744,2433,1293,1140,16,13,3
33,15,0007,41516000,36,0,WARD,Tiruchirappalli (M Corp.) - Ward No.36,Urban,8279,3914,4365,523,271,252,44,19,25
33,15,0007,41516000,37,0,WARD,Tiruchirappalli (M Corp.) - Ward No.37,Urban,11220,5642,5578,2488,1256,1232,3,1,2
33,15,0007,41516000,38,0,WARD,Tiruchirappalli (M Corp.) - Ward No.38,Urban,19201,9403,9798,1096,552,544,43,24,19
33,15,0007,41516000,39,0,WARD,Tiruchirappalli (M Corp.) - Ward No.39,Urban,14367,7173,7194,3371,1673,1698,3,2,1
33,15,0007,41516000,40,0,WARD,Tiruchirappalli (M Corp.) - Ward No.40,Urban,17201,8666,8535,2873,1441,1432,39,18,21
33,15,0007,41516000,41,0,WARD,Tiruchirappalli (M Corp.) - Ward No.41,Urban,15170,7521,7649,874,469,405,43,22,21
33,15,0007,41516000,42,0,WARD,Tiruchirappalli (M Corp.) - Ward No.42,Urban,13012,6490,6522,1248,685,563,56,28,28
33,15,0007,41516000,43,0,WARD,Tiruchirappalli (M Corp.) - Ward No.43,Urban,12454,7010,5444,908,466,442,58,32,26
33,15,0007,41516000,44,0,WARD,Tiruchirappalli (M Corp.) - Ward No.44,Urban,12394,5896,6498,1711,718,993,128,55,73
33,15,0007,41516000,45,0,WARD,Tiruchirappalli (M Corp.) - Ward No.45,Urban,17216,9116,8100,1264,674,590,75,37,38
33,15,0007,41516000,46,0,WARD,Tiruchirappalli (M Corp.) - Ward No.46,Urban,12697,6459,6238,1510,772,738,4,1,3
33,15,0007,41516000,47,0,WARD,Tiruchirappalli (M Corp.) - Ward No.47,Urban,14398,6449,7949,1817,876,941,9,5,4
33,15,0007,41516000,48,0,WARD,Tiruchirappalli (M Corp.) - Ward No.48,Urban,10739,5401,5338,1040,509,531,17,8,9
33,15,0007,41516000,49,0,WARD,Tiruchirappalli (M Corp.) - Ward No.49,Urban,14799,7425,7374,192,93,99,0,0,0
33,15,0007,41516000,50,0,WARD,Tiruchirappalli (M Corp.) - Ward No.50,Urban,15748,7892,7856,1211,591,620,0,0,0
33,15,0007,41516000,51,0,WARD,Tiruchirappalli (M Corp.) - Ward No.51,Urban,12331,6121,6210,1210,598,612,5,4,1
33,15,0007,41516000,52,0,WARD,Tiruchirappalli (M Corp.) - Ward No.52,Urban,18234,9320,8914,944,493,451,5,3,2
33,15,0007,41516000,53,0,WARD,Tiruchirappalli (M Corp.) - Ward No.53,Urban,10882,5444,5438,1659,827,832,12,5,7
33,15,0007,41516000,54,0,WARD,Tiruchirappalli (M Corp.) - Ward No.54,Urban,10795,5311,5484,97,44,53,12,5,7
33,15,0007,41516000,55,0,WARD,Tiruchirappalli (M Corp.) - Ward No.55,Urban,13172,6572,6600,515,255,260,0,0,0
33,15,0007,41516000,56,0,WARD,Tiruchirappalli (M Corp.) - Ward No.56,Urban,11410,5613,5797,658,322,336,14,9,5
33,15,0007,41516000,57,0,WARD,Tiruchirappalli (M Corp.) - Ward No.57,Urban,16864,8217,8647,1474,725,749,25,12,13
33,15,0007,41516000,58,0,WARD,Tiruchirappalli (M Corp.) - Ward No.58,Urban,11908,6077,5831,84,44,40,92,43,49
